"codice_1_livello","label_1_livello_it","label_1_livello_en","def_1_livello_it","def_1_livello_en","codice_2_livello","label_2_livello_it","label_2_livello_en","def_2_livello_it","def_2_livello_en"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-0","Dissesto costiero non definito (informazioni carenti)","","Dissesto costiero non definito (informazioni carenti) (Tipo: Dissesto Costiero)",""
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-1","Impedimento al deflusso delle piene alla foce","Prevention of the outflow of floods at the mouth","Impedimento al deflusso delle piene alla foce (Tipo: Dissesto Costiero)","Prevention of the outflow of floods at the mouth (Type: Coastal instability)"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-10","Altra tipologia di dissesto costiero (non in elenco)","","Altra tipologia di dissesto costiero (non in elenco) (Tipo: Dissesto Costiero)",""
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-2","Insabbiamento della foce","","Insabbiamento della foce (Tipo: Dissesto Costiero)",""
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-3","Insabbiamento del litorale","Covering up the coast","Insabbiamento del litorale (Tipo: Dissesto Costiero)","Covering up the coast (Type: Coastal instability)"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-4","Allagamenti del retroterra per mareggiate","Flooding of the hinterland due to storm surges","Allagamenti del retroterra per mareggiate (Tipo: Dissesto Costiero)","Flooding of the hinterland due to storm surges (Type: Coastal instability)"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-5","Erosione della foce","Erosion of the mouth","Erosione della foce (Tipo: Dissesto Costiero)","Erosion of the mouth (Type: Coastal instability)"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-6","Erosione del litorale","Coastal erosion","Erosione del litorale (Tipo: Dissesto Costiero)","Coastal erosion (Type: Coastal instability)"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-7","Erosione/sormonto duna costiera","Coastal dune erosion / overlap","Erosione/sormonto duna costiera (Tipo: Dissesto Costiero)","Coastal dune erosion / overlap (Type: Coastal instability)"
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-8","Danneggiamento /collasso delle opere marittime","","Danneggiamento /collasso delle opere marittime (Tipo: Dissesto Costiero)",""
"DC","Dissesto Costiero","Coastal instability","Tipo di dissesto: Dissesto Costiero","Type of instability: Coastal instability","DC-9","Erosione del fronte/scalzamento piede (coste alte)","Front erosion / foot undermining (high ribs)","Erosione del fronte/scalzamento piede (coste alte) (Tipo: Dissesto Costiero)","Front erosion / foot undermining (high ribs) (Type: Coastal instability)"
"DE","Incendio","Conflagration","Tipo di dissesto: Incendio","Type of instability: Conflagration","DE-0","Erosione per incendio non definita (informazioni carenti)","","Erosione per incendio non definita (informazioni carenti) (Tipo: Incendio)",""
"DE","Incendio","Conflagration","Tipo di dissesto: Incendio","Type of instability: Conflagration","DE-1","Erosione areale per ruscellamento diffuso","Areal erosion by diffuse runoff","Erosione areale per ruscellamento diffuso (Tipo: Incendio)","Areal erosion by diffuse runoff (Type: Conflagration)"
"DE","Incendio","Conflagration","Tipo di dissesto: Incendio","Type of instability: Conflagration","DE-2","Erosione a rivoli per ruscellamento entro rivoli subparalleli","Stream erosion by runoff within subparallel rivulets","Erosione a rivoli per ruscellamento entro rivoli subparalleli (Tipo: Incendio)","Stream erosion by runoff within subparallel rivulets (Type: Conflagration)"
"DE","Incendio","Conflagration","Tipo di dissesto: Incendio","Type of instability: Conflagration","DE-3","Erosione lineare, a solchi per ruscellamento concentrato","Linear, furrowed erosion by concentrated runoff","Erosione lineare, a solchi per ruscellamento concentrato (Tipo: Incendio)","Linear, furrowed erosion by concentrated runoff (Type: Conflagration)"
"DE","Incendio","Conflagration","Tipo di dissesto: Incendio","Type of instability: Conflagration","DE-4","Altra tipo di erosione per incendio (non in elenco)","","Altra tipo di erosione per incendio (non in elenco) (Tipo: Incendio)",""
